Candidate_ID,Candidate_Gender,Candidate_Education_Level,Candidate_Work_Experience,Candidate_Skills,Job_Type,Job_Category,Required_Skills,Job_Description,Title,URL
15,1,2,0,"Graphic Design,Adobe Creative Suite",Full-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Python for Everybody Specialization,https://www.coursera.org/specializations/python
16,1,1,8,"Social media,content creation",intership,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative",Information Technology (IT) and Cloud Fundamentals Specialization,https://www.coursera.org/specializations/it-cloud-fundamentals
17,0,2,8,"Financial analysis,accounting",Full-time,Finance,"Financial analysis,Excel,accounting",financial analyst,"BI Foundations with SQL, ETL and Data Warehousing Specialization",https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse
18,1,1,3,"Machine Learning,data analysis",Full-time,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Natural Language Processing Specialization,https://www.coursera.org/specializations/natural-language-processing
19,1,3,0,"Python,Java",Full-time,Software Development,"Python,Java,data structures",software engineer,Business Foundations Specialization,https://www.coursera.org/specializations/wharton-business-foundations
20,1,1,8,"Excel,statistical modelling",intership,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",Meta React Native Specialization,https://www.coursera.org/specializations/meta-react-native
21,1,1,9,statistics,Full-time,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",Mathematics for Machine Learning and Data Science Specialization,https://www.coursera.org/specializations/mathematics-for-machine-learning-and-data-science
22,0,1,7,"Graphic Design,Adobe Creative Suite",intership,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Introduction to Finance and Accounting Specialization,https://www.coursera.org/specializations/finance-accounting
23,0,3,4,"Financial analysis,accounting",Full-time,Finance,"Financial analysis,Excel,accounting",financial analyst,AI Foundations for Everyone Specialization,https://www.coursera.org/specializations/ai-foundations-for-everyone
24,0,4,1,"Customer Service,communication",Part-time,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Finance & Quantitative Modeling for Analysts Specialization,https://www.coursera.org/specializations/finance-quantitative-modeling-analysts
25,0,2,7,"Python,Java",Part-time,Software Development,"Python,Java,data structures",software engineer,Machine Learning Engineering for Production (MLOps) Specialization,https://www.coursera.org/specializations/machine-learning-engineering-for-production-mlops
26,1,3,2,"Customer Service,communication",intership,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Business and Financial Modeling Specialization,https://www.coursera.org/specializations/wharton-business-financial-modeling
27,0,2,6,"Graphic Design,Adobe Creative Suite",intership,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Business Analytics Specialization,https://www.coursera.org/specializations/business-analytics
28,0,4,6,"Python,Java",intership,Software Development,"Python,Java,data structures",software engineer,Excel Skills for Business Specialization,https://www.coursera.org/specializations/excel
29,0,3,5,"Financial analysis,accounting",intership,Finance,"Financial analysis,Excel,accounting",financial analyst,Learn SQL Basics for Data Science Specialization,https://www.coursera.org/specializations/learn-sql-basics-data-science
30,1,2,6,"Python,Java",Part-time,Software Development,"Python,Java,data structures",software engineer,The Materiality of ESG Factors Specialization,https://www.coursera.org/specializations/materiality-esg-factors
31,0,3,2,"Machine Learning,Python",intership,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",AI For Business Specialization,https://www.coursera.org/specializations/ai-for-business-wharton
32,1,1,5,"Excel,statistical modelling",Full-time,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",Digital Product Management Specialization,https://www.coursera.org/specializations/uva-darden-digital-product-management
33,1,4,1,"Graphic Design,Adobe Creative Suite",intership,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Leading the Modern Day Business Specialization,https://www.coursera.org/specializations/leading-modern-day-business
34,0,2,7,"Financial analysis,accounting",Part-time,Finance,"Financial analysis,Excel,accounting",financial analyst,Graphic Design Specialization,https://www.coursera.org/specializations/graphic-design
35,1,4,3,"Machine Learning,Python",Part-time,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Security Analyst Fundamentals Specialization,https://www.coursera.org/specializations/security-analyst-fundamentals
36,0,1,9,"Machine Learning,Python,data analysis",Part-time,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Improve Your English Communication Skills Specialization,https://www.coursera.org/specializations/improve-english
37,0,1,9,"Social media,content creation",intership,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative",Entrepreneurship Specialization,https://www.coursera.org/specializations/wharton-entrepreneurship
38,1,4,2,"Python,Java",Full-time,Software Development,"Python,Java,data structures",software engineer,Foundations of Positive Psychology  Specialization,https://www.coursera.org/specializations/positivepsychology
39,1,2,7,"Machine Learning,Python,data analysis",intership,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Data Science Specialization,https://www.coursera.org/specializations/jhu-data-science
40,1,2,8,"Excel,statistical modelling",intership,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",Supply Chain Management Specialization,https://www.coursera.org/specializations/supply-chain-management
41,1,1,4,"Python,Java",Part-time,Software Development,"Python,Java,data structures",software engineer,Fintech: Foundations & Applications of Financial Technology Specialization,https://www.coursera.org/specializations/wharton-fintech
42,0,2,2,"Machine Learning,Python",intership,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Microsoft 365 Fundamentals Specialization,https://www.coursera.org/specializations/microsoft-365-fundamentals
43,0,1,7,"Python,Java",Full-time,Software Development,"Python,Java,data structures",software engineer,Search Engine Optimization (SEO) Specialization,https://www.coursera.org/specializations/seo
44,0,2,9,"Customer Service,communication",Full-time,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",AI Product Management Specialization,https://www.coursera.org/specializations/ai-product-management-duke
45,0,3,0,"data analysis,Python",Part-time,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Introduction to Programming with Python and Java Specialization,https://www.coursera.org/specializations/programming-python-java
46,1,2,3,"Python,Java",Full-time,Software Development,"Python,Java,data structures",software engineer,Construction Management Specialization,https://www.coursera.org/specializations/construction-management
47,0,4,4,"Graphic Design,Adobe Creative Suite",Full-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",IBM Introduction to Machine Learning Specialization,https://www.coursera.org/specializations/ibm-intro-machine-learning
48,1,4,4,"Excel,statistical modelling",Full-time,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",Data Analysis and Presentation Skills: the PwC Approach Specialization,https://www.coursera.org/specializations/pwc-analytics
49,1,1,3,"Python,Java",Full-time,Software Development,"Python,Java,data structures",software engineer,AWS Fundamentals Specialization,https://www.coursera.org/specializations/aws-fundamentals
50,1,3,9,"Social media,content creation",Part-time,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative",Data Science: Foundations using R Specialization,https://www.coursera.org/specializations/data-science-foundations-r
51,1,1,4,"Customer Service,communication",intership,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Python 3 Programming Specialization,https://www.coursera.org/specializations/python-3-programming
52,0,4,9,"Graphic Design,Adobe Creative Suite",intership,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Reinforcement Learning Specialization,https://www.coursera.org/specializations/reinforcement-learning
53,0,3,7,"Customer Service,communication",Part-time,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Accelerated Computer Science Fundamentals Specialization,https://www.coursera.org/specializations/cs-fundamentals
54,0,1,0,"Machine Learning,Python",Full-time,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Digital Marketing Specialization,https://www.coursera.org/specializations/digital-marketing
55,0,4,9,"Python,Java",Part-time,Software Development,"Python,Java,data structures",software engineer,DevOps on AWS Specialization,https://www.coursera.org/specializations/aws-devops
56,0,4,0,"Python,Java",Full-time,Software Development,"Python,Java,data structures",software engineer,Generative Adversarial Networks (GANs) Specialization,https://www.coursera.org/specializations/generative-adversarial-networks-gans
57,1,1,7,"Graphic Design,Adobe Creative Suite",Full-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Data Visualization with Tableau Specialization,https://www.coursera.org/specializations/data-visualization
58,0,1,4,"Social media,content creation",Full-time,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative",Certified in Cybersecurity Specialization,https://www.coursera.org/specializations/certified-in-cybersecurity
59,0,4,8,"Excel,statistical modelling",Full-time,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",Business Strategy Specialization,https://www.coursera.org/specializations/business-strategy
60,0,1,5,"Excel,statistical modelling",Part-time,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",Applied Data Science with Python Specialization,https://www.coursera.org/specializations/data-science-python
61,0,2,7,"Python,Java",Full-time,Software Development,"Python,Java,data structures",software engineer,Human Resource Management: HR for People Managers Specialization,https://www.coursera.org/specializations/human-resource-management
62,1,2,4,"Python,Java",Full-time,Software Development,"Python,Java,data structures",software engineer,Achieving Personal and Professional Success Specialization,https://www.coursera.org/specializations/wharton-success
63,1,3,7,"Excel,statistical modelling",Part-time,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",Regulatory Compliance Specialization,https://www.coursera.org/specializations/regulatory-compliance
64,1,3,6,"data analysis,Python",Full-time,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist","TESOL Certificate, Part 1: Teach English Now! Specialization",https://www.coursera.org/specializations/tesol
65,1,4,6,"Social media,content creation",intership,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative",Financial Engineering and Risk Management Specialization,https://www.coursera.org/specializations/financialengineering
66,0,4,8,"Excel,statistical modelling",intership,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",UI / UX Design Specialization,https://www.coursera.org/specializations/ui-ux-design
67,0,3,0,"Financial analysis,accounting",Full-time,Finance,"Financial analysis,Excel,accounting",financial analyst,"Product Ideation, Design, and Management Specialization",https://www.coursera.org/specializations/product-ideation-design-and-management
68,0,1,4,"Machine Learning,Python",intership,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Financial Analysis - Skills for Success Specialization,https://www.coursera.org/specializations/financial-analysis-skills-for-success
69,0,2,2,"Customer Service,communication",Part-time,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Creative Writing Specialization,https://www.coursera.org/specializations/creative-writing
70,0,4,1,"Customer Service,communication",Part-time,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Data Structures and Algorithms Specialization,https://www.coursera.org/specializations/data-structures-algorithms
71,1,4,1,"Graphic Design,Adobe Creative Suite",Full-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Software Product Management Specialization,https://www.coursera.org/specializations/product-management
72,1,3,1,"Python,Java",Full-time,Software Development,"Python,Java,data structures",software engineer,Foundations of Management Specialization,https://www.coursera.org/specializations/foundations-management
73,0,2,0,"Social media,content creation",intership,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative",Genomic Data Science Specialization,https://www.coursera.org/specializations/genomic-data-science
74,0,3,1,"Customer Service,communication",Part-time,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Methods and Statistics in Social Sciences Specialization,https://www.coursera.org/specializations/social-science
75,0,3,0,"Social media,content creation",Part-time,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative","NoSQL, Big Data, and Spark Foundations Specialization",https://www.coursera.org/specializations/nosql-big-data-and-spark-foundations
76,0,4,7,"Machine Learning,Python",Full-time,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Think like a CFO Specialization,https://www.coursera.org/specializations/thinklikeacfo
77,0,2,0,"Excel,statistical modelling",intership,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",TensorFlow: Advanced Techniques Specialization,https://www.coursera.org/specializations/tensorflow-advanced-techniques
78,0,2,8,"Social media,content creation",intership,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative","Data Engineering, Big Data, and Machine Learning on GCP Specialization",https://www.coursera.org/specializations/gcp-data-machine-learning
79,1,2,9,"Python,Java",Part-time,Software Development,"Python,Java,data structures",software engineer,Mathematics for Machine Learning Specialization,https://www.coursera.org/specializations/mathematics-machine-learning
80,0,1,7,"Graphic Design,Adobe Creative Suite",intership,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Modern and Contemporary Art and Design Specialization,https://www.coursera.org/specializations/modern-contemporary-art-design
81,0,1,3,"Financial analysis,accounting",Full-time,Finance,"Financial analysis,Excel,accounting",financial analyst,Agile Development Specialization,https://www.coursera.org/specializations/agile-development
82,1,2,8,"Excel,statistical modelling",Part-time,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",Career Success Specialization,https://www.coursera.org/specializations/career-success
83,1,1,3,"Graphic Design,Adobe Creative Suite",Full-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",U.S. Federal Taxation Specialization,https://www.coursera.org/specializations/united-states-federal-taxation
84,1,2,3,"Excel,statistical modelling",intership,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",The Business of Music Production Specialization,https://www.coursera.org/specializations/business-music-production
85,0,4,1,"Graphic Design,Adobe Creative Suite",intership,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",The Business of Health Care Specialization,https://www.coursera.org/specializations/healthcare-administration-management
86,1,2,1,"Graphic Design,Adobe Creative Suite",Part-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Practical Data Science on the AWS Cloud Specialization,https://www.coursera.org/specializations/practical-data-science
87,0,4,7,"Social media,content creation",intership,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative",Risk Management Specialization,https://www.coursera.org/specializations/risk-management
88,0,4,1,"Python,Java",intership,Software Development,"Python,Java,data structures",software engineer,Music Production Specialization,https://www.coursera.org/specializations/music-production
89,0,1,7,"Graphic Design,Adobe Creative Suite",Part-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Google Cloud Database Engineer Specialization,https://www.coursera.org/specializations/google-cloud-database-engineer
90,0,4,2,"Graphic Design,Adobe Creative Suite",Part-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Architecting with Google Compute Engine Specialization,https://www.coursera.org/specializations/gcp-architecture
91,0,4,5,"Financial analysis,accounting",intership,Finance,"Financial analysis,Excel,accounting",financial analyst,Global Procurement and Sourcing Specialization,https://www.coursera.org/specializations/procurement-sourcing
92,0,4,5,"Financial analysis,accounting",intership,Finance,"Financial analysis,Excel,accounting",financial analyst,Entrepreneurship: Growing Your Business Specialization,https://www.coursera.org/specializations/entrepreneurship-growing-your-business
93,1,2,3,"Financial analysis,accounting",Part-time,Finance,"Financial analysis,Excel,accounting",financial analyst,Six Sigma Yellow Belt Specialization,https://www.coursera.org/specializations/six-sigma-fundamentals
94,0,4,9,"Python,Java",Part-time,Software Development,"Python,Java,data structures",software engineer,The DIY Musician Specialization,https://www.coursera.org/specializations/diy-musician
95,0,2,3,"Graphic Design,Adobe Creative Suite",Full-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Algorithms Specialization,https://www.coursera.org/specializations/algorithms
96,0,4,3,"Graphic Design,Adobe Creative Suite",Part-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer","Influencing: Storytelling, Change Management and Governance Specialization",https://www.coursera.org/specializations/influencing-storytelling-change-management
97,0,2,9,"Social media,content creation",Part-time,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative",Applied Data Science with R Specialization,https://www.coursera.org/specializations/applied-data-science-r
98,1,2,7,"Python,Java",Full-time,Software Development,"Python,Java,data structures",software engineer,Geographic Information Systems  (GIS) Specialization,https://www.coursera.org/specializations/gis
99,1,3,8,"Machine Learning,Python,data analysis",Full-time,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Decentralized Finance (DeFi): The Future of Finance Specialization,https://www.coursera.org/specializations/decentralized-finance-duke
100,1,1,8,"Graphic Design,Adobe Creative Suite",intership,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Project Management & Other Tools for Career Development Specialization,https://www.coursera.org/specializations/project-management-success
101,0,1,6,"Python,Java",Full-time,Software Development,"Python,Java,data structures",software engineer,Project Management Principles and Practices Specialization,https://www.coursera.org/specializations/project-management
102,0,2,4,"Excel,statistical modelling",Part-time,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",Java Programming and Software Engineering Fundamentals Specialization,https://www.coursera.org/specializations/java-programming
103,0,4,5,"Financial analysis,accounting",Part-time,Finance,"Financial analysis,Excel,accounting",financial analyst,MATLAB Programming for Engineers and Scientists Specialization,https://www.coursera.org/specializations/matlab-programming-engineers-scientists
104,1,3,2,"Excel,statistical modelling",Full-time,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",Design Thinking Specialization,https://www.coursera.org/specializations/uva-darden-design-thinking
105,0,1,7,"Graphic Design,Adobe Creative Suite",Full-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Architecting with Google Kubernetes Engine Specialization,https://www.coursera.org/specializations/architecting-google-kubernetes-engine
106,0,4,1,"Customer Service,communication",Full-time,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Security in Google Cloud Specialization,https://www.coursera.org/specializations/security-google-cloud-platform
107,1,1,8,"Customer Service,communication",intership,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Leading People and Teams Specialization,https://www.coursera.org/specializations/leading-teams
108,1,2,7,"Graphic Design,Adobe Creative Suite",Full-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Coding for Everyone: C and C++ Specialization,https://www.coursera.org/specializations/coding-for-everyone
109,1,1,1,"Social media,content creation",Full-time,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative",Developing Applications with Google Cloud Specialization,https://www.coursera.org/specializations/developing-apps-gcp
110,0,2,1,"Python,Java",Part-time,Software Development,"Python,Java,data structures",software engineer,Real-World Product Management Specialization,https://www.coursera.org/specializations/real-world-product-management
111,0,4,1,"Python,data analysis",intership,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Pricing Strategy Optimization Specialization,https://www.coursera.org/specializations/uva-darden-bcg-pricing-strategy
112,0,2,0,"Social media,content creation",Full-time,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative",Networking in Google Cloud Specialization,https://www.coursera.org/specializations/networking-google-cloud-platform
113,1,4,5,"Machine Learning,Python",Full-time,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Academic English: Writing Specialization,https://www.coursera.org/specializations/academic-english
114,0,2,5,"Social media,content creation",Full-time,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative",Introduction to Cyber Security Specialization,https://www.coursera.org/specializations/intro-cyber-security
115,0,3,7,"Graphic Design,Adobe Creative Suite",intership,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Business Data Management and Communication Specialization,https://www.coursera.org/specializations/business-data-management-communication
116,1,1,4,"Python,Java",Full-time,Software Development,"Python,Java,data structures",software engineer,Intellectual Property Law Specialization,https://www.coursera.org/specializations/introduction-intellectual-property
117,0,4,4,"Social media,content creation",intership,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative",The Singer Songwriter Specialization,https://www.coursera.org/specializations/singer-songwriter
118,0,1,5,"Graphic Design,Adobe Creative Suite",Full-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",AI for Medicine Specialization,https://www.coursera.org/specializations/ai-for-medicine
119,1,4,3,"Financial analysis,accounting",Part-time,Finance,"Financial analysis,Excel,accounting",financial analyst,Mergers and Acquisitions  Specialization,https://www.coursera.org/specializations/mergersandacquisitions
120,1,3,4,"Customer Service,communication",intership,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Dynamic Public Speaking Specialization,https://www.coursera.org/specializations/public-speaking
121,0,2,5,"Financial analysis,accounting",Part-time,Finance,"Financial analysis,Excel,accounting",financial analyst,Supply Chain Analytics Specialization,https://www.coursera.org/specializations/supply-chain-analytics
122,1,1,9,"Python,Java",intership,Software Development,"Python,Java,data structures",software engineer,Six Sigma Black Belt Specialization,https://www.coursera.org/specializations/six-sigma-black-belt
123,0,1,2,"Financial analysis,accounting",intership,Finance,"Financial analysis,Excel,accounting",financial analyst,Strategic Leadership and Management Specialization,https://www.coursera.org/specializations/strategic-leadership
124,0,3,4,"Customer Service,communication",intership,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Music Education for Teachers Specialization,https://www.coursera.org/specializations/music-education
125,0,4,2,"Customer Service,communication",Full-time,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Project Management Specialization,https://www.coursera.org/specializations/meem-project-management
126,0,3,1,"Social media,content creation",Part-time,Marketing,"Social media,content creation,graphic design","marketing assistant,sales representative",User Experience Research and Design Specialization,https://www.coursera.org/specializations/michiganux
127,1,4,3,"Financial analysis,accounting",Full-time,Finance,"Financial analysis,Excel,accounting",financial analyst,Good with Words: Writing and Editing Specialization,https://www.coursera.org/specializations/good-with-words
128,1,4,2,"Excel,statistical modelling",Full-time,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",Drug Development Product Management Specialization,https://www.coursera.org/specializations/drug-development-product-management
129,1,4,6,"Machine Learning,Python",intership,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Excel Skills for Data Analytics and Visualization Specialization,https://www.coursera.org/specializations/excel-data-analytics-visualization
130,0,4,7,"Python,Java",Part-time,Software Development,"Python,Java,data structures",software engineer,"Food Sustainability, Mindful Eating, and Healthy Cooking Specialization",https://www.coursera.org/specializations/food-sustainability-mindful-eating-healthy-cooking
131,1,4,3,"Graphic Design,Adobe Creative Suite",Full-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Web Design for Everybody: Basics of Web Development & Coding Specialization,https://www.coursera.org/specializations/web-design
132,0,1,8,"Financial analysis,accounting",intership,Finance,"Financial analysis,Excel,accounting",financial analyst,Microsoft Azure Fundamentals AZ-900 Exam Prep Specialization,https://www.coursera.org/specializations/microsoft-azure-fundamentals-az-900
133,1,1,8,"Graphic Design,Adobe Creative Suite",Part-time,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Business Value and Project Management Specialization,https://www.coursera.org/specializations/business-value-project-management
134,1,2,2,"Machine Learning,Python",Full-time,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Clinical Trials Operations Specialization,https://www.coursera.org/specializations/clinical-trials-operations
135,1,1,9,"Python,Java",intership,Software Development,"Python,Java,data structures",software engineer,Investment Management with Python and Machine Learning Specialization,https://www.coursera.org/specializations/investment-management-python-machine-learning
136,0,4,4,"Machine Learning,Python",Part-time,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Data Analysis with R Specialization,https://www.coursera.org/specializations/statistics
137,1,3,7,"Excel,statistical modelling",intership,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",Excel to MySQL: Analytic Techniques for Business Specialization,https://www.coursera.org/specializations/excel-mysql
138,1,2,6,"Machine Learning,Python",Full-time,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Bayesian Statistics Specialization,https://www.coursera.org/specializations/bayesian-statistics
139,0,3,9,"Python,Java",intership,Software Development,"Python,Java,data structures",software engineer,Data Science Foundations: Data Structures and Algorithms Specialization,https://www.coursera.org/specializations/boulder-data-structures-algorithms
140,1,1,1,"Machine Learning,Python",intership,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist",Biostatistics in Public Health  Specialization,https://www.coursera.org/specializations/biostatistics-public-health
141,1,4,9,"Graphic Design,Adobe Creative Suite",intership,Graphic Design,"Graphic Design,Adobe Creative Suite,visual design","GUI developer,designer",Algorithms for Battery Management Systems Specialization,https://www.coursera.org/specializations/algorithms-for-battery-management-systems
142,1,1,7,"Machine Learning,Python",intership,Data Science,"Machine Learning,data analysis,Python","software developer,data scientist","Effective Communication: Writing, Design, and Presentation Specialization",https://www.coursera.org/specializations/effective-business-communication
143,1,2,1,"Customer Service,communication",Part-time,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Financial Management Specialization,https://www.coursera.org/specializations/financial-management
144,1,2,4,"Python,Java",Full-time,Software Development,"Python,Java,data structures",software engineer,Game Design: Art and Concepts Specialization,https://www.coursera.org/specializations/game-design
145,0,2,8,"Excel,statistical modelling",Full-time,Data Analysis,"Data Analysis,Excel,statistical modelling","Data Analysts,Data scientist",Neuroscience and Neuroimaging Specialization,https://www.coursera.org/specializations/computational-neuroscience
146,1,4,5,"Customer Service,communication",intership,Customer Service,"Customer Service,sales,communication","Customer Service,sales,communication",Electronic Music Production Specialization,https://www.coursera.org/specializations/electronic-music-production
